,岗位,招聘关键字
123,银行贷款专员,"['早九晚', '节假日', '销售', '团建', '一金', '岗位职责', '五休', '客户', '学历', '合作', '单休', '贷前', '人际交往', '岗前', '市场营销', '公司地址', '借款', '沟通', '贷款']"
124,现场工程师,"['issues', 'time', 'process', '设备', 'equipment', 'related', 'engineering', '操作规程', '有效', '现场', '快速', '按照', '基础', '填写', 'good', '提前准备', '安装', 'construction', '全权负责', 'site']"
125,运营经理,"['发展', '市场部', '连锁', '经营', '执行', '以上', '团购', '满意度', '行政部', '管理', '管理人员', '总经理', '品牌', '业务部门', '谈判', '管理工作', '同行业', '岗位职责', '计划', '部门', '荣誉感', '运营部', '团长', '工商管理', '农业', '精准', '销售部', '营运', '追踪', '运营', '协调', '落地', '小区', '制定', '团队', '授权', '判断', '门店', '餐饮']"
126,三维/cad/制图,"['创意', 'lg', '设计', '软件', '3d', '展览', '岗位职责', '施工图', '完成', '制作', '展台', '研发部', '效果图', '家具', '新风', '使用', '决算', '经验', '操作', '设计师', '定制', '展示', '草图', '植物', '总图', 'sketchup', '3dmax', '需要', '构思', '三菱', '根据', 'autocad', '现场', 'su', '整装', '空调', 'photoshop', '工业', 'max', '色彩', '工艺', '景观', '渲染', '全屋', '绘制', '室内', '暖通设计', '机械', '展厅', '独立', '扩初', '主要', '暖通', '三维', '衣柜', '净水', '工程施工', '专业', '建筑', '落实', '空间设计', '绘图', '景观规划', 'cad', '了解', '工装', '运用', '管道', '以上学历', '大专', '大师', '机械行业', '外观设计', '要求', '装修', '水机', '方面', '熟练', '深化', '制图', '安排', '室内设计', '沟通', 'ps', '图纸', '测量']"
127,工程造价,"['工程造价', '咨询', '投标', '算量', '工程量', '广联达', '工程预算', '审核', '软件', '施工单位', '设计变更', '成本', '独立', '造价', '全过程', '审计', '造价师', '土建', '定额', '预算', '概算', '招收', '招投标', '专业', '工程', '预决算', '计价', '预算员', '造价员', '清单', '结算', '安装', '编制', '图纸']"
128,电气自控工程师,"['元器件', '组态', '继电保护', '调试', '电缆', '绘制', '触摸屏', '火力发电', '仪表', '西门子', '给与', 'plc', '编程', '设计规范', '工程项目', '实践经验', '试验', '电气', '图纸', '自控']"
129,安装工程师,"['工程进度', '管理工作', '工程部', '竣工', '施工单位', '设计变更', '验收', '消防', '现场', '协调', '监理', '进度', '工程施工', '工程', '施工', '落实', '技术', '给排水', '工程质量', '安装']"
130,机械设计工程师,"['结构设计', '脱硝', 'cad', '机加工', '过程', '诚信', '产品', '以上学历', '设备设计', '进行', '定居', '设计', '软件', '设备', '一金', '岗位职责', 'solidworks', '零部件', '自动化', '加工', '化工机械', '要求', '机械', '改进', '机械设计', '机械加工', 'autocad', '选型', 'ug', 'catia', '工艺', '技术', 'bom', '环保', '制图', '踏实', '安装', '图纸', '生产', '绘图', '非标']"
131,硬件测试工程师,"['过程', '专业本科', '板卡', '设计', '专业对口', 'layout', '岗位职责', '分析', '信号', 'fpga', '电子', '完整性', '使用', '研发', '经验', '智能', 'bom', '测试工具', 'cpu', '逆变器', '电路设计', '具有', '调测', '数字电路', 'pcb', '电子相关', 'eda', 'arm', '性能', '控制器', '模拟', '熟悉', '动手', '串口', '根据', '原理图', '嵌入式', '单片机', '强电', '测试', '电力行业', '开发', '精通', '电子行业', 'stm32', 'mcu', '电厂', '功能测试', '编写', '器件', '调试', '以上', '产品', '进行', '万用表', '选型', '开发工具', '文档', '层板', '相关', '测试环境', '可靠性', 'dsp', '测试计划', '电表', '电路', '问题', '单元测试', '通讯', '定位', '元器件', '电力', '了解', 'ups', '电磁兼容', '产线', '硬件', '技术', '测试报告', '测试用例', 'emc']"
132,高级客户经理,"['从业', '实现', '一金', '提供', '理财', '品质', '有车', '客户', '公司', '证券', '营销', '职业规划', '金融', '以上学历', '梦想', '具有', '本科', '专业']"
133,理财师,"['以上学历', '专业本科', '一金', '提供', '岗位职责', '客户资源', '净值', '根据', '高端', '人际交往', '资格证书', '有效', '理财', '理财产品', '信托', '转化率', '金融', 'p2p', '服务', '各种渠道']"
134,资深平面设计师,"['创意设计', '平面', 'ai', '广告', 'vi', '创意', '以上学历', '设计', '岗位职责', '作品', '美术', '完成', '完稿', '视觉', 'photoshop', '品牌设计', '海报', '经验', '平面设计', 'ps']"
135,全屋定制设计师,"['橱柜', 'cad', '设计方案', '全屋', '复尺', '设计', '软件', '岗位职责', '客户', '方案', '下单', '三维', '出图', '衣柜', '效果图', '家具', '量尺', '家乐', '设计师', '安装', '室内设计', '沟通', '定制', '测量']"
136,技术支持工程师,"['必要', '拜访', '化工', '做起', '交流', '调试', '核心技术', '污油', '产品', '以上学历', '周休', '钻研', '技术支持', '技术培训', 'linux', '实施', '标准', '熟悉', '信息工程', '岗位职责', '需对', '客户', '驾驶证', '售前', '要求', '出差', '网络', '仪表', '配线', '文档', '现场', '行业动态', '相关', 'plc', '控制工程', '环境工程', '工作制', '污水', '实训', '售后', '维护', '制做', '使用', '员工福利', '电力系统', '处理', '固废', '经验', '六小时', '驾驶证者', '技术', '自动控制', '安装', '问题', '计算机相关', '污水处理']"
137,资深文案,"['策划', '广告', '创意', '广告学', '稿件', '撰写', '以上学历', '品牌', '岗位职责', '文笔流畅', '文案', '方案', '功底', '策略', '创作', '项目', '文字', '提案', '经验', '发想']"
138,资深设计师,"['创意设计', 'ai', '广告', '执行', 'vi', '创意', '设计', '岗位职责', '美术', '功底', '完成', '手绘', '项目', '视觉', 'photoshop', '广告设计', '品牌设计', '经验', '平面设计', 'ps']"
139,专利工程师,"['检索', '交底', 'cad', '挖掘', '专利', '撰写', '以上学历', '知识产权', '婚假', '岗位职责', '文件', '理工科', '代理人', '本科', '专利申请', '专利技术', '相关', '专业', '技术', '答复']"
140,机械设计师,"['结构设计', 'cad', '生产工艺', '产品', '以上学历', '设备设计', '认同', '部件', '通风', '聘请', '设计', '软件', '设备', 'solidworks', '零部件', '自动化', '加工', '扎实', '机械', '机械设计', '机械加工', 'autocad', '选型', 'ug', '价值观', '结构', '空调', '整洁', '输出', '从事', '技术', '环保', '非标', '图纸', '工作者', '及水']"
141,电力工程师,"['继电保护', '变电', '高压', '保修', '配电房', '出差', '二次', '传递', '技术指标', '转化', '规则', '高低压', '制定', '变电站', '接受', '配网', '电力设备', '积极', '乐观', '设备厂']"
142,招商专员,"['资源', '拜访', '园区', '变通', '谈吐', '独立思考', '商户', '协会', '以上学历', '进行', '洽谈', '服从', '写字楼', '租赁', '岗位职责', '集团', '客户', '分析', '客户资源', '稳重', '政府', '信息', '各种', '创业项目', '指标', '守信', '政策', '商务谈判', '市场营销', '项目', '招商', '介绍', '市场调研', '领导', '入驻', '经验', '交办', '上级', '满意']"
143,自动化工程师,"['通讯', '组态', '上位', '过滤', '调试', '以上学历', '控制系统', '软件', '设备', '自动化', '岗位职责', '电气系统', '设计', '出差', '贺金', '常驻', '选型', '原理图', '电气专业', '现场', '监测', '西门子', 'plc', '编程', '变频器', '电气工程', '电气', 'abb', '监测仪器', '化工行业', '自控', '控制', '施耐德']"
144,设计师,"['样衣', '方案设计', '另招', '设计方案', '创意', '协同', '因新', '油烟', '可研', '设计', '软件', '3d', '岗位职责', '照明设计', '事物', '画册', '施工图', '承诺', '制作', '完成', '下单', '车库', '会用', '效果图', '家具', '施工', '时尚', '经验', '大道', '空间', '设计师', '定制', '一到', '文艺', 'ai', 'vi', 'word', '方案', '款式', '根据', 'autocad', '新鲜', '万到', '服装', '颜色', 'photoshop', 'cdr', '固废', '工艺', '施工监督', '包装', '创意设计', '风格', '广告', '服装设计', '以上', '产品', '软装', '考虑', '全屋', '利用自身', '美术', '流行', '勇于创新', '独立', '环评', '婚礼', '想象力', '三维', '100%', '视觉', '在线', '工民建', '清洗', '从事', '衣柜', '表现', '量尺', '平面设计', '环保', '报价', 'cad', '审美', '南油', '量房', '运用', '以上学历', '家装', '结构图', '面料', '装饰', '监测', '装修', '手绘', '艺术修养', '面辅料', '发光字', '熟练', '海报', '主创', '谈单', '室内设计', '沟通', 'ps']"
145,软装设计师,"['整体', 'cad', '方案设计', '硬装', '设计方案', '软装', '以上学历', '饰品', '室内', '样板房', '设计', '样板间', '岗位职责', '家居', '方案', 'autocad', '完成', '艺术设计', 'ppt', '布艺', 'photoshop', '挂画', '搭配', '家具', '色彩', '配饰', '花艺', '家乐', '室内设计', '沟通', 'ps', '置家', '摆场', '陈设']"
146,知识产权,"['检索', '专利', '撰写', '以上学历', '知识产权', '进行', '保护', '查询', '提供', '岗位职责', '客户', '代理人', '版权', '流程', '申请', '商标', '业务', '企业', '客户关系', '申报']"
147,项目主管,"['资源', '标书', '供货', '较强', '公益事业', '任职', '文档资料', '园区', '区域', '执行', '胜任', '社会工作', '环境', '需要', '单位', '以上学历', '管理', '控制', '供货商', '一金', '处理工艺', '社工', '岗位职责', '项目经理', '计划', '整理', '巡查', '风管', '农业', '承包', '分管', '信息', '资格证书', '孵化', '现场', '负责人', '务实', '时请', '环境工程', '废气', '监督', '机构', '社区', '政府', '项目', '甲方', '协调', '公益', '交付', '跟踪', '治理', '确保', '招投标', '外联', '建设', 'voc', '团队', '经验', '状况', '规划', '保证', '环保', '社群', '描述', '踏实', '项目管理', '沟通', '生产', '及时', '写作能力']"
148,产品专员,"['区域', '本行业', '资料', '医疗', '富有', '岗位职责', '分析', '市场', '二手房', '信息', '轻松', '巴南', 'job', '拓展', '业务', '建立', '机会', '经验', '市场推广', '每周', '行业', '推广', '五险', '待遇', '集团', '客户', '看房', '货品', '完善', '电销', '买卖', '性格', '抗压', '效能', '维护', '提成', '欣欣', '协助', '法学专业', '免费', '1.18', '底薪', '机制', '高薪', '经费', '产品', '高额', '进行', '洽谈', '新人奖', '销售', '调配', '新品', '提供', '一金', '沟通了解', '倒休', '年轻人', '竞品', '享有', '晋升', '客户资源', '有效', '相关', '4a', '专业', '培训', '语言表达', '20w', '激情', '房源', '交办', '上班时间', '绿色', '产品开发', '需求', '拜访', '法律顾问', '以上学历', '大专', '知识产权', '20%', '租赁', '数据分析', '化妆品', '关系', '空缺', '行业动态', '晋升制度', '市场调研', '肯吃苦', '饭补', '聚餐', '链家', '沟通']"
149,市场推广,"['公益事业', '策划', '养老', '执行', '推广', '校区', '以上学历', '品牌', 'qq', '异业', '一金', '岗位职责', '潜在', '合作', '亲和力', '爱心', '乐于助人', '敬业', '市场', '周边', '收集', '宣传', '渠道', '教育', '入户', '机构', '签单', '公益', '活动', '求助者', '帮助', '开发新', '意识', '居家', '市场推广', '优先选择']"
150,咨询项目管理,"['咨询', '能力', '申报材料', '以上学历', '管理', '岗位职责', '沟通', '具有', '政府', '信息', '组织', '相关', '政策', '高新技术', '项目', '报告', '企业', '编制', '抗压', '申报']"
151,经纪人,"['资源', '理想', '专人', '3k', '剧组', '通告', '演艺', '带徒弟', '娱乐', '影视', '岗位职责', '看房', '直播', '艺人', '收入丰厚', '演员', '行内', '主播', '4k', '相对', '签约', '模特', '协调', '招募', '++', '一对一', '自信', '经纪人', '演出', '学习', '90%', '网红', '经纪', '描述', '沟通']"
152,销售工程师,"['主动', '能力', '客户档案', '区域', '开拓', '亦可', '负载', '岗位职责', '毕业生', '生日会', '市场', '二手房', '低压', '应届', '积极进取', '反应', 'job', '拓展', '业务', '产品销售', '经验', '客户关系', '共创', '积极', '公司', '管理学', '行业', '五险', '勇于', '婚假', '待遇', '集团', '客户', '看房', '电销', '年者', '买卖', '市场营销', '效能', '背景', '维护', '提成', '欣欣', '低压配电', '极强', '销售者', '法学专业', '入司', '免费', '任务', '底薪', '高薪', '经费', '产品', '高额', '洽谈', '新人奖', '市场动态', '销售', '提供', '一金', '享有', '晋升', '客户资源', '福利待遇', '有效', '商务谈判', '周边城市', '达到目标', '判断能力', '专业', '充满热情', '培训', '语言表达', '20w', '测试项目', '账款', '房源', '礼金', '环保', '上班时间', '绿色', '保持良好', '综合体', '拜访', '差旅费', '法律顾问', '以上学历', '大专', '知识产权', '20%', '租赁', '帐款', '做点', '保量', '理工科', '关系', '工商管理', '空缺', '行业动态', '信息技术', '晋升制度', '带薪', '电力系统', '开发新', '提点', '能流畅', '肯吃苦', '饭补', '聚餐', '链家', '抗压']"
153,证券投资顾问,"['从业', '投资', '券商', '投顾', '资格', '疑难问题', '六险', '客户', '顾问', '专属', '指定', '证券', '执业资格', '账户', '金融', '维护', '两金', '习惯', '服务', '公司']"
154,品牌策划,"['能力', '策划', '全案', '创意', '推广', '广告学', '营销策划', '撰写', '以上学历', '品牌', '岗位职责', '传播', '文案', '方案', '策略', '宣传', '品牌策略', '媒体', '提案', '营销']"
155,财务咨询顾问,"['财务', '咨询', '注册', '财税', '会计师', '进行', '财务咨询', '会计', '审计', '公司', '一般', '做账', '工商', '小规模', '税务', '纳税人', '企业', '税务师', '沟通', '申报']"
156,分析师,"['报告', '研究', '交易', '期货', 'vc', '分析', '证券', '行业', '投资', '企业', 'pe', '金融', 'fa', '指导', 'tmt', '背景', '安于现状']"
157,审计,"['财务', '注册', '会计师', '以上', '以上学历', '归档', '项目经理', '独立', '鉴证', '完成', '事务所', '会计', '审计', '底稿', '审计报告', '审计工作', '报告', '经验', '交办', '税务师']"
158,3d设计师,"['创意设计', 'cad', '3dmax', '创意', '设计', '3d', '软件', '展览', '岗位职责', '施工图', 'autocad', '完成', '制作', '展台', 'photoshop', '效果图', '公关活动', '展示', '舞美']"
159,人力资源总监,"['发展', '较强', '决策', '机制', '人力', '培养', '实施', '人力资源', '领导力', '制度', '组织', '政策法规', '人才', '监督控制', '体系', '制定', '人事管理', '资源管理', '人事', '定岗']"
160,招聘经理,"['需求', '奖金', '管理', '进行', '丰厚', '考核', '人力资源', '应聘者', '招聘', '社招', '完成', '录用', '人才', '面试', '确保', '简历', '校招', '笔试', '上级', '人员']"
161,市场主管,"['市场部', '策划', '中心', '校区', '以上学历', '异业', '岗位职责', '合作', '市场', '宣传', '渠道', '教育', '市场营销', '活动', '制定', '团队', '培训', '经验', '市场推广', '招生']"
162,平面设计师,"['创意', '设计', '软件', '岗位职责', '传播', '画册', '闷骚', '完成', '制作', '归纳', '时间', '电子商城', 'logo', '使用', '校级', '美术设计', '公司', 'ai', 'illustrator', 'vi', '新颖', '图片', '拒绝', '品牌', '1.1', '作品集', '获得', 'photoshop', '广告设计', '广告公司', '各类', '浙大', '精通', 'cdr', '单页', '平面广告', '包装', '创意设计', '广告', '画册设计', '产品包装', '考虑', '易拉宝', '美术', '企业宣传', '敏锐', '宣传', '相关', '主要', '发送', '宣传品', '遵纪守法', '视觉', '良好', '活动', '印前', '意图', '房地产', '促销', '印刷', '平面设计', '环保', '形象设计', '排版', '平面', '审美', '宣传册', '以上学历', '物料', '详情页', '把握', '内到', '手绘', '页面', '生活', '熟练', '海报', 'coreldraw', '成品', 'ps']"
163,证券经纪人,"['从业', '投资', '资格', '以上学历', '提供', '岗位职责', '客户', '渠道', '传递', '理财', '证券', '资格考试', '开发', '金融', '维护', '开户', '经纪人', '营销', '服务', '公司']"
164,三维动画师,"['软件', '镜头', 'maya', '特效', '三维', '熟练掌握', '绑定', 'c4d', '角色', '动作', 'ae', '三维动画', '建模', '场景', '渲染', '制作', '材质', '动画']"
165,人力资源主管,"['升职', '每位', '管理', '考核', '管理工作', '岗位职责', '事物', '实务', '薪酬', '监督', '定期维护', '绩效评价', '坚持', '拓展', '优秀', '建立', '建设', '人事管理', '全面', '公司', '发展', '表格', '执行', '1.65', '人事档案', '耐心', '总经理', '实施', '分配', '人力资源', '公共', '行政', '完善', '办理', '人际沟通', '主管', '策略', '根据', '组织', '朝九晚', '定期', '汇总', '指标', '假期', '深耕', '开展', '监督控制', 'hrbp', '适应', '思维', '制定', '劳动合同', '俱佳', '资源管理', '人事', '企业', '规划', '做好', '表达能力', '生产型', '各项', '用工', '绩效考核', '独有', '绩效', '手续', '计划', '部门', '年终', '原则性', '内购', '员工', '年龄', '信息管理', '培训', '厚街', '模块', '六大', '规章制度', '说明书', '人员', '潜力', '任职', '综合体', '灵魂', '人力', '考勤', '以上学历', '人事行政', '人力资源部', '亲和力', '招聘', '关系', '统招', '制度', '负责人', '流程', '人才', '体系', '帮助', '入职', '处理', '描述', '安排', '二年']"
166,项目助理,"['能力', '一手', '申报材料', '投资', '管理', '资料', '落实工作', '社工', '岗位职责', '整理', '收集', '完成', '信息', '各种', '归类', '不限', '修改', '青浦', '出游', '进度', '跟踪', '国家', '施工', '有车', '参与', '能动性', '具有', '事务性', '管理学', '执行', '电力工程', '社会工作', '五险', '环境', '办公', '实施', '公益活动', '开标', '文件', '项目经理', 'word', '出差', '主管', '青浦区', '本科', '合同', '现场', '性格', '汇总', '真真实实', '项目', '配合', '各类', 'pdf', '适应', '评标', '优良', '办公自动化', '协助', '尽调', '执行力', '申报', '跟进', '咨询', '解决', '薪金', '对接', '过节', '以上', '包住', '减压', '交流会', '进行', '软件工程', '一金', '半天', '会议纪要', '计划', '文档', '全过程', '相关', '招标', '青城', '协调', '良好', '为主', '招投标', '优先', '谦虚', '专业', '工程', 'excel', '工作', '衔接', '环保', '交办', '项目管理', '编制', '写作能力', '文职', '需求', '任职', '了解', 'cad', 'pmp', '10kv', '法律法规', '助理', '以上学历', '大专', '顺畅', '7k', '后续', '上级领导', '理工科', '评估', '报装', '可谈', '环境工程', '政策', '管饭', '能静心', '车者', '公益', '方面', '经理', '核实', '建筑材料', '处理', 'office', '安排', '踏实', '沟通', '图纸']"
167,项目工程师,"['跟进', '过程', '大专', '以上学历', '岗位职责', '计划', '要求', '模具', '项目风险', '现场', '组织', '相关', '项目', '协调', '交付', '进度', '制定', '项目管理', '安装', '沟通']"
168,产品设计师,"['技能', '创意设计', '交底', '制作', '审图', '出图', '会审', 'coreldraw', '打样', '3dmax', '工艺', '展会', 'photoshop', '演示', '其它', '产品设计', '效果', '讲解']"
169,采购工程师,"['返修', '较强', '解决', '紧急事件', 'erp', '到货', '入账', '采购部', '协同', '供应', '委外', '节假日', '以上学历', '管理', '大专', '进行', '物料', '我司', '谈判', '熟悉', '寻源', '处理工艺', '催货', '岗位职责', '撑握', '情况', '清晰', '计划', '成本', '材料', '评估', '按质', '原材料', '选型', '合同', '渠道', '退货', '流程', '采购计划', '采购', '商务谈判', '申请单', '良好', '供应商', '跨部门', '协调', '跟踪', '谈价', '结构件', '电子', '外包', '经验', '认真仔细', '对账', '职业道德', '交办', '控制', '定制', '质量体系', '机加']"
170,策划主管,"['定位', '策划', '执行', '推广', '营销策划', '以上学历', '实施', '岗位职责', '文案', '独立', '策略', '市场策划', '项目', '活动', '市场调研', '房地产', '制定', '报告', '促销', '营销']"
171,人事经理,"['绩效考核', '任职', '工伤', '执行', '人力', '以上学历', '人事行政', '人事制度', '实施', '考核', '公司员工', '人力资源', '一金', '岗位职责', '招聘', '完善', '组织协调', '逻辑思维', '本科', '制度', '有效', '相关', '人事工作', '制定', '劳动合同', '人事管理', '资源管理', '人事', '规划', '交办', '说明书', '公司', '续签', '人员']"
172,实施工程师,"['部署', '胜任者', '解决', '应急', '需求', '化工', 'erp', 'oracle', '交流', '编写', '系统', '以上学历', '实施', '医疗', '最好', '支撑', '软件工程', 'his', 'mysql', '软件', '熟悉', '自制', '高压', '子公司', '或水', '岗位职责', '控制', '计算机相关', '布置图', '出差', '二次', '必须', '环境治理', '文档', '环评', '现场', '技术人员', '环境工程', 'server', '会审', '项目', '从事', '维护', '小规模', '经验', '热力', '市政', '诚恳', '项目前期', '水务', '技术', '电气', '投运', '环保', 'sql', '数据库', '短期', '项目管理', '问题', '沟通', '安装', '及时']"
173,预定票务,"['订票', '国内机票', '航空公司', '黑屏', 'qq', '一金', '岗位职责', '携程', '签证', '预订', '改签', '旅行社', 'eterm', '票务', '熟练', '出票', '机票', '预定', '国际', '操作']"
174,采购主管,"['任职', '商品', '大专', '以上学历', '管理', '进行', '落实工作', '谈判', '熟悉', '岗位职责', '部门', '评估', '流程', '交期', '采购计划', '采购', '供应商', '经验', '订单', '交办']"
175,电话客服,"['底薪', '节假日', '口齿清晰', '上六休', '五险', '应变能力', '进行', '客服', '20%', '销售', '提供', '一金', '岗位职责', '生日会', '客户', '看房', '沟通了解', '学历', '双休', '微信', '接听', '朝九晚', '邀约', '岗前', '50%', '回访', '电话', '无责', '带薪', '开发新', '培训', '意向', '沟通', '午休', '公司']"
176,采购专员,"['质量', '新站', '采购部', '过程', '产品成本', '管理', '落实工作', '包装材料', '岗位职责', '拍单', '情况', '名录', '成本', '新老', '上报', '信息', '报帐', '确定', '一定', '商务礼品', '跟踪', '交货期', '物资', '格林', '购单', '及时', '发货', '供货', '到货', '执行', '供应', '家禽类', '进货', '熟悉', '设备', '供应链', '武清', 'word', '材料', '生鲜', '根据', '合同', '年薪制', '组织', '评审', '开发', '细致', '领导', '电厂', '订单', '耗材', '对账', '职业道德', '外发', '管理制度', '承受', '解决', '责任心', '商品', '审验', '产品', '融洽', '考虑', '进行', '谈判', '一金', '做到', '按计划', '相关', '全局', '食材', '库存', '采购', '商务谈判', '遵纪守法', '良好', '跨部门', '供应商', 'excel', '信息库', '妈咪', '2.1', '交办', '询价', '质量体系', '行业资讯', '元器件', '任职', 'erp', '物品', '以上学历', '付款', '文具', '大专', '物料', '鲜肉', '装饰', '原材料', '线缆', '正直', '总结报告', '流程', '交期', '采购计划', '名单', '合格', '机械配件', '电力系统', '很强', '大学专科', '安排', '沟通']"
177,风控专员,"['从业', '法律法规', '催收', '有风控', '征信', '提醒', '五险', '以上学历', '进行', '贷后', '风控', '清收', '审核', '控制', '一金', '岗位职责', '核查', '逾期', '资信', '客户', '信用卡', '分析', '记录', '风险', '评估', '还款', '根据', '贷前', '风险管理', '信贷', '客户资料', '私募', '查看', '审批', '账户', '享受', '金融', '电话', '无责', '贷中', '借款人', '基金', '全日制', '交办', '沟通', '公司', '贷款']"
178,知识产权顾问,"['老客户', '专利', '五险', '以上学历', '大专', '知识产权', '销售', '提供', '一金', '岗位职责', '合作', '客户', '双休', '版权', '商标', '电话', '业务', '带薪', '沟通', '公司']"
179,深化设计师,"['交底', 'cad', '施工现场', '工装', '以上学历', '绘制', '设计', '岗位职责', '施工图', '规范', '完成', '配合', '施工工艺', '施工', '深化', '设计师', '制图', '图纸', '室内设计', '节点']"
180,测量员,"['cad', '任职', '工资', '仪器', '另议', '较忙', '以上学历', '大专', '资料', '岗位职责', '测量员', '地理信息', '要求', '全站仪', '放样', '挂钩', '整理', '条件者', '内业', '测绘', '航测', '专业', '熟练', '施工', '地籍图', '外业', '带组', '地形', '数字化', '做好', '工作量', '仪器设备', 'gps', '测量', '放线']"
181,预结算员,"['工程造价', '分包', '报价', '投标', '工程量', '广联达', '软件', '竣工', '设计变更', '成本', '材料', '造价', '相关', '预算', '工程', '施工', '决算', '结算', '图纸', '编制']"
182,质量工程师,"['逻辑性', '质量', '检验', '不合格品', '过程', '统计分析', '以上学历', '监控', '产品检验', '大专', '机械行业', '表单', '岗位职责', '产品质量', '外协', '分析', '客诉', '组织', '相关', '品质', '改善', '机械类', '体系', 'iatf16949', '合格', '质量检验', '制定', '管理工具', '娴熟', '管理体系', '制程', '控制', '质量体系', '改进', '问题']"
183,助理研究员,"['sci', '社会', '实验室', '社工', '择优录用', '文稿', '文科类', '本科生', '组织', '更优', '开展', '应聘', '学位证书', '起草', '派驻', '历练', '论文', '研究生', '年薪', '工作岗位']"
184,营销管培生,"['商圈', '一金', '协作关系', '深圳', '政策法规', '岗前', '营销', '房产', '管培生', '副总经理', '见习', '双通道', '经理', '带客', '保障', '80%', '副总裁', '市场动态']"
185,电力工程项目经理,"['电力', '资源', '获取', '交流', '地点', '电力工程', '进行', '本地', '供用电', '高压', '重庆', '监测', '主要', '改造', '电力行业', '协调', '高低压', '从事', '工程', '配网']"
186,文案策划,"['宣传册', '策划', '广告', '微博', '新闻稿', '创意', '具备', '营销策划', '稿件', '广告学', '撰写', '内容', '以上学历', '大专', '资料', '配图', '产品', '品牌', '新闻', '一金', '岗位职责', '文笔流畅', '传播', '扎实', '文案', 'word', '独立', '方案', '功底', '新闻学', '宣传', 'ppt', '微信', '相关', '媒体', '搜集整理', '市场营销', '项目', '运营', '专题', '推广', '活动', '各类', '房地产', '文字', '宣传片', '编辑', '提案', '公众', '营销', '软文', '交办', '描述', '创新', '行业资讯', '公司']"
187,项目申报专员,"['了解', '申报材料', '具备', '撰写', '以上学历', '知识产权', '岗位职责', '送审', '客户', '要求', 'word', '验收', '理工科', '收集', '政府', '信息', '相关', '政策', '高新技术', '项目', '科技', '文字', 'excel', '解读', '企业', '素养', '职业', '服务', '沟通', '申报']"
188,运输经理/主管,"['车辆', '任职', '司机', '以上学历', '管理', '大专', '维修', '车辆管理', '物流', '保险', '库房', '联系', '异常', '驾驶员', '处理', '状况', '运输', '配送', '安排', '承运']"
189,it技术支持,"['计算机硬件', '网络系统', '调试', 'oa', '系统', '以上学历', '监控', '技术支持', '维修', '打印机', '熟悉', '岗位职责', 'windows', '服务器', '网络', '电脑', '运维', '硬件', '计算机', '软硬件', '售后', '操作系统', '弱电', '网络设备', '维护', '故障', '技术', '安装', '计算机相关', '公司']"
190,平面设计,"['创意', '设计', '软件', '摄影者', '岗位职责', '画册', 'pop', '后期制作', '完成', '制作', '无差错', '类库', '图文', '公司', 'ai', '周六', 'illustrator', 'vi', '图片', '板式', '品牌', '1.1', '周日', '敏感', 'indesign', '艺术设计', '通道', '各类', '广告设计', '思维', '输出', '广告公司', 'cdr', 'photoshop', '视频剪辑', '单页', '色彩', '包装', '创意设计', '风格', '连锁', '广告', '餐盒', '产品包装', '写作', '包材', '形象', '美术', '应聘者', '企业宣传', '独立', '宣传', '相关', '主要', '宣传品', '针对', '视觉', '活动', '印刷', '平面设计', '集体', '行业资讯', '排版', '平面', '理解', '宣传册', '官网', '悟性', '以上学历', '大专', '爱新', '物料', '详情页', '把握', '功底', '手绘', '色彩感', '海报', 'coreldraw', 'id', '大学专科', '成熟', 'ps']"
191,预结算,"['工程造价', '投标', '工程量', '广联达', '工程预算', '审核', '设计变更', '成本', '签证', '装饰', '造价', '定额', '预算', '招投标', '工程', '预决算', '施工', '决算', '结算', '编制']"
192,技术工程师,"['问题解答', '解决', 'cad', '要强', '联系方式', '调试', '产品', '以上学历', '大专', '钻研', '考虑', '技术培训', '船东', '技术支持', '土木工程', '协助执行', '喷涂', '熟悉', '设备', '一金', '岗位职责', '加工', '售前', '联系电话', '甲醛', 'word', '动手', '指派', '方案', '仪表', '左右', '芙蓉区', '本科生', '现场', '两个', '相关', '主要', '环境工程', '一般', '中专', '车床', '职称者', '会用', '治理', '适应', '售后', '弱电', '开关柜', '专业', '铣床', '维护', '邮箱', '类新', '危险源', '技术', '工作餐', '共创', '问题', '安装']"
193,策划,"['能力', '策划', '广告', '大型', '园区', '微博', '执行', '创意', '推广', '营销策划', '审定', '撰写', '优秀人才', '以上学历', '进行', '实施', '新闻', '朝九晚五', '一金', '社工', '分内', '岗位职责', '文案', '独立', '方案', '独当一面', '功底', '工司', '完成', '案场', 'ppt', '证者', '项目', '监督管理', '活动', '市场调研', '文字', '传播学', '效果', '统筹', '提案', '软文', '沟通', '工作者', '方法']"
194,运营助理/专员,"['餐补', '开发新', '1.18', '事务', '合作', '养老', '分析', '促销', '执行', '月薪', '市场', '反馈', 'ms', '专员', '建立', '有效']"
195,预算员,"['工程造价', '电力', '报价', '变更', '投标', '10kv', '掌握', '电力工程', '工程量', '广联达', '以上学历', '工程预算', '审核', '外地', '服从', '卓越', '岗位职责', '竣工', '设计变更', '成本', '实际', '材料', '签证', '施工图', '造价', '合同', '各种', '及预', '会审', '上岗', '定额', '预算', '估算', '招投标', '预算编制', '工程施工', '工程', '施工', '预决算', '配网', '计价', '决算', '使用', '预算员', '取费', '清单', '结算', '材料价格', '证书', '安排', '编制', '图纸']"
